title,link,preview
"한국HPE-KT-울랄라랩, ‘스마트팩토리 클라우드 센터’ 개소",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/137266,"한국 HPE는 KT, 울랄라랩과 협력해 중소제조기업을 위한 스마트팩토리 클라우드 센터를 열었다고 밝혔다. 울랄라랩의 스마트팩토리 전용 클라우드 데이터센터는 안정적 서비스 제공을 위해 HPE 그린레이크(GreenLake) 서비스와 KT의 5..."
"“글로벌 유통기업 종사자 85%, 데이터 활용과 고객관리에 어려움 겪어” 던험비 발표",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/137154,글로벌 유통기업 종사자의 85%가 데이터 활용과 고객관리에 어려움을 겪는 것으로 나타났다. 고객 빅데이터 분석 & 솔루션 기업 던험비는 ‘유통기업의 미래는 데이터에 달려 있다’는 보고서를 발표했다. 이 보고서는 던험비가 포레스터 컨...
"리뷰 | 그린플럼 6, 두루 유용한 대규모 병렬 처리 데이터베이스 ",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/137071,"대규모 병렬 처리(Massively Parallel Processing, MPP) 데이터베이스는 데이터와 쿼리를 일반 서버로 구성된 클러스터의 각 노드로 분산시킨다. 그린플럼(Greenplum)의 MPP 데이터 웨어하우스 구축 방법은 독특하다. 기존  ..."
구글의 개인 의료정보 사용 “기분은 찜찜해도 합법” 달아오르는 의료정보 시장 각축전,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136927,"구글은 보다 나은 치료와 비용 절감 방법을 제시할 목적으로 미국 내 최대 의료 시스템 중 하나와 손을잡고 미국 21개 주, 2,600개 병원 및 의원에서 수백만 명의 환자 정보를 수집하고 분석한다.  ⓒ GettyImagesBa ..."
How To : 키바나를 시작하는 방법,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136899,"키바나(Kibana)는 브라우저 인터페이스를 이용, 많은 데이터를 쉽게 검색, 시각화, 탐색할 수 있는 오픈소스 분석 및 시각화 도구다. 엘라스틱서치(Elasticsearch), 로그스태시(Logstash), 비츠(Beats)와 함께 엘라스틱 스택(E ..."
"티맥스, ‘티맥스데이 2019’ 11월 29일 개최...“혁신 IT 기술 및 비즈니스 전략 제시”",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136526,"티맥스는 11월 29일 서울 강남구 코엑스 컨벤션센터 3층 오디토리움에서 고객, 파트너 및 일반인을 대상으로 ‘티맥스데이(TmaxDay) 2019’를 개최한다고 밝혔다.이번 행사는 ‘AB²C 혁신으로 여는 새로운 세상(Open the New Wor..."
"코오롱베니트, ‘클라우데라’와 총판 계약 체결",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136318,코오롱베니트(www.kolonbenit.com)가 엔터프라이즈 데이터 클라우드 전문기업 클라우데라와 총판 계약을 체결했다고 밝혔다.올해 1월 호튼웍스와 합병한 클라우데라는 오픈소스 기반의 빅데이터 처리 기술을 바탕으로 데이터를 통해 기업 혁신을...
"""현업과 IT 간 긴장 관계를 해소하라"" 클라우데라 믹 홀리슨 CMO",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136291,"""현업 부서와 IT 부서의 니즈는 각기 다르다. IT는 보안과 안정성을, 현업은 민첩성과 속도를 원한다. 현업은 IT가 자신들의 니즈를 채워주지 않으면 각자 해결책을 찾아 나선다. 가트너에 따르면, 전체 IT 비용의 40% 이상이 섀도우 IT였다.""& ..."
"클라우데라, 국내외 빅데이터 전문가 초청 ‘클라우데라 세션’ 개최",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136278,"클라우데라가 오늘 서울 신라호텔에서 국내 최대 빅데이터 전문 행사인 ‘클라우데라 세션 서울 2019(Cloudera Sessions Seoul 2019)’를 개최했다.이번에 개최된 클라우데라 세션은 기업이 주목해야 할 데이터 분석 방법을 공유하고, ..."
"""고""할 것인가 ""파이썬""할 것인가, 비교 선택 가이드",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/136275,"개발자를 위한 사용 편의성과 개발 속도 향상 측면에서 가장 뛰어난 두 가지 프로그래밍 언어는 파이썬(Python)과 고(Go)다. 현재 파이썬은 스크립팅, 데브옵스, 머신러닝, 테스트의 중심이며 고는 새롭게 부상하는 컨테이너 기반, 클라우드 네이티브  ..."
"""데이터 기반의 마케팅 전략"" 구글·링크드인·레드벌룬·캔버 패널 토의",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/135974,"세빗 컨퍼런스의 패널 토의 참가 기업인 캔버, 구글, 링크드인, 레드벌룬이 데이터를 활용해 마케팅에 접근하는 가장 효과적인 방식을 모색하면서 알게 된 정보를 공유했다.   ⓒGetty Images Bank대조군 데이터, 경 ..."
"한글과컴퓨터그룹-안양시, 안양시 스마트시티 조성 위해 업무협약 체결",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/135575,"한글과컴퓨터그룹(이하 한컴그룹)이 안양시와 손잡고, 안양형 스마트시티 조성을 위해 포괄적인 협력 관계를 구축한다.한컴그룹과 안양시는 경기도 성남시 한컴타워에서 김상철 한컴그룹 회장과 최대호 안양시장을 비롯한 주요 관계자들이 참석한 가운데, 스마트시..."
"몽고DB, 알리바바 클라우드와 파트너십 체결",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/135195,몽고DB가 ‘서비스로서의 몽고DB(MongoDB-as-a-Service)’ 솔루션을 제공하기 위해 알리바바 그룹의 데이터 인텔리전스 중추인 알리바바 클라우드(Alibaba Cloud)와 파트너십을 체결했다고 밝혔다. 알리바바 클라우드 사용...
"“미래는 나의 것” NoSQL, 뉴 스택 소프트웨어의  확실한 선두주자 ",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/134674,"관계형 데이터베이스는 지난 몇십 년 동안 엄청난 인기를 누렸지만, 모건 스탠리의 최신 데이터에 따르면 호시절은 얼마 남지 않았을 수도 있다. 물론 데이터베이스 분야는 변화가 느리다. 그러나 확실히 변화하고 있다. 실제로 모건 스탠리 연구에 따르면, 이 ..."
"""경기날 음료 판매량까지 정확히 예측""··· NBA 마이애미히트의 애널리틱스 사례",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/134446,오늘날 스포츠 팬은 스마트폰 덕분에 행복하다. 다양한 모바일 앱에 통해 더 편리하게 스포츠를 즐길 수 있기 때문이다. 예를 들어 미국 프로 농구 연맹(NBA) 마이애미 히트팀은 홈 경기장인 아메리칸에어라인 아레나의 입장권과 물건을 모바일 기기로 구매할 ...
"롯데정보통신, SAP 퀄트릭스 파트너 네트워크 합류...“고객경험 분야 서비스 역량 강화”",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/134406,"롯데정보통신은 ‘퀄트릭스 파트너 네트워크(Qualtrics Partner Network, 이하 ‘QPN’)’의 신규 회원사로 합류했다고 퀄트릭스(qualtrics.com)가 밝혔다. SAP는 2018년 11월 퀄트릭스 인수를 공식 발표하고 올해 1월 ..."
'데이터 속 가치 찾기' 빅데이터 분석의 정의와 활용도 ,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/134271,데이터는 무엇이고 빅데이터는 과연 무엇일까? 그리고 그 두 가지의 차이를 확실히 구분할 수 있을까? 빅데이터의 정의빅데이터는 사용예가 다양해 명확히 좁혀서 정확히 정의하기 어렵다. 그러나 일반적으로 전통적인 데이터 처리 소프트웨어로는 합 ...
